################################
##########2016-09-15############
黄河                          ,刘家峡出库,-,301,-,
黄河                          ,兰州                          ,1512.11,821,-,
黄河                          ,下河沿                        ,1230.76,734,-,
黄河                          ,石嘴山                        ,1087.26,785,-,
黄河                          ,巴彦高勒                      ,1050.9,730,-,
黄河                          ,三湖河口                      ,1019.08,930,-,
黄河                          ,包头                          ,1002.84,890,-,
黄河                          ,头道拐                        ,987.2,873,-,
黄河                          ,万家寨蓄水量,971.11,(2.32)亿,-,
黄河                          ,万家寨上出库,-,545,-,
黄河                          ,万家寨下                      ,899.06,545,-,
黄河                          ,府谷                          ,807.9,946,-,
黄河                          ,吴堡                          ,637.55,901,-,
黄河                          ,龙门                          ,380.65,804,-,
汾河                          ,河津                          ,372.36,34.9,-,
北洛河                        ,状头                          ,361.47,4.08,-,
泾河                          ,张家山                        ,420.26,2.02,-,
渭河                          ,咸阳                          ,381.26,34.3,-,
渭河                          ,华县                          ,335.45,53,-,
黄河                          ,潼关                          ,327.16,740,-,
黄河                          ,史家滩蓄水量,304.92,(0.494)亿,-,
黄河                          ,三门峡                        ,274.66,580,2.07,
黄河                          ,小浪底上蓄水量,247.07,(35)亿,-,
黄河                          ,小浪底                        ,134.49,373,-,
伊河                          ,东湾                          ,2.8,5.05,-,
伊河                          ,陆浑坝上蓄水量,313.05,(4.28)亿,-,
伊河                          ,陆浑坝上出库,-,-,-,
伊河                          ,龙门镇                        ,148.61,11.5,-,
洛河                          ,卢氏                          ,6.19,1.57,-,
洛河                          ,故县水库蓄水量,523.26,(4.55)亿,-,
洛河                          ,故县水库出库,-,-,-,
洛河                          ,长水                          ,90.5,1.52,-,
洛河                          ,白马寺                        ,7.91,20,-,
伊洛河                        ,黑石关                        ,105.45,22.3,-,
丹河                          ,山路坪                        ,-,-,-,
沁河                          ,五龙口                        ,141.87,17.7,-,
沁河                          ,武陟                          ,100.16,11.9,-,
黄河                          ,花园口                        ,88.88,338,-,
黄河                          ,夹河滩                        ,72.32,310,-,
黄河                          ,高村                          ,58.94,295,*0.605,
黄河                          ,孙口                          ,44.42,270,0.397,
大清河                        ,戴村坝,-,-,-,
东平湖                        ,东平湖老湖蓄水量,42.48,(4.86)亿,-,
东平湖                        ,出湖闸,-,-,-,
黄河                          ,艾山                          ,36.77,273,0.529,
黄河                          ,泺口                          ,25.9,233,1.06,
黄河                          ,利津                          ,10.09,127,0.158,

################################
##########2016-09-20############
黄河                          ,唐乃亥                        ,2515.62,678,-,
黄河                          ,龙羊峡入库,-,628,-,
黄河                          ,龙羊峡蓄水量,2572.91,(154)亿,-,
黄河                          ,龙羊峡出库,-,281,-,
黄河                          ,刘家峡入库,-,681,-,
黄河                          ,刘家峡蓄水量,1729.02,(32.9)亿,-,
黄河                          ,刘家峡出库,-,301,-,
黄河                          ,兰州                          ,1511.87,682,-,
黄河                          ,下河沿                        ,1230.82,766,-,
黄河                          ,石嘴山                        ,1087.13,710,-,
黄河                          ,巴彦高勒                      ,1051,775,-,
黄河                          ,三湖河口                      ,1019.03,900,-,
黄河                          ,包头                          ,1002.83,890,-,
黄河                          ,头道拐                        ,987.22,889,-,
黄河                          ,万家寨蓄水量,971.03,(2.30)亿,-,
黄河                          ,万家寨上出库,-,783,-,
黄河                          ,万家寨下                      ,899.42,783,-,
黄河                          ,府谷                          ,807.83,903,-,
黄河                          ,吴堡                          ,637.53,910,-,
黄河                          ,龙门                          ,380.91,1040,-,
汾河                          ,河津                          ,372.42,36.2,-,
北洛河                        ,状头                          ,361.47,4.08,-,
泾河                          ,张家山                        ,420.26,2.02,-,
渭河                          ,咸阳                          ,381.39,48.3,-,
渭河                          ,华县                          ,335.65,74.8,-,
黄河                          ,潼关                          ,327.34,940,-,
黄河                          ,史家滩蓄水量,304.2,(0.438)亿,-,
黄河                          ,三门峡                        ,274.98,742,2,
黄河                          ,小浪底上蓄水量,247.24,(35.3)亿,-,
黄河                          ,小浪底                        ,134.63,497,-,
伊河                          ,东湾                          ,2.8,5.05,-,
伊河                          ,陆浑坝上蓄水量,313.03,(4.27)亿,-,
伊河                          ,陆浑坝上出库,-,-,-,
伊河                          ,龙门镇                        ,148.64,13,-,
洛河                          ,卢氏                          ,6.18,1.41,-,
洛河                          ,故县水库蓄水量,523.35,(4.57)亿,-,
洛河                          ,故县水库出库,-,-,-,
洛河                          ,长水                          ,90.5,1.52,-,
洛河                          ,白马寺                        ,7.92,21.3,-,
伊洛河                        ,黑石关                        ,106.15,21.9,-,
丹河                          ,山路坪                        ,-,-,-,
沁河                          ,五龙口                        ,141.87,17.7,-,
沁河                          ,武陟                          ,100.16,11.9,-,
黄河                          ,花园口                        ,88.89,340,-,
黄河                          ,夹河滩                        ,72.27,292,-,
黄河                          ,高村                          ,58.95,303,0.373,
黄河                          ,孙口                          ,44.42,270,0.343,
大清河                        ,戴村坝,-,-,-,
东平湖                        ,东平湖老湖蓄水量,42.46,(4.83)亿,-,
东平湖                        ,出湖闸,-,-,-,
黄河                          ,艾山                          ,36.77,273,0.761,
黄河                          ,泺口                          ,25.9,233,0.522,
黄河                          ,利津                          ,10.1,129,0.214,

################################
##########2016-09-21############
黄河                          ,唐乃亥                        ,2515.77,738,-,
黄河                          ,龙羊峡入库,-,616,-,
黄河                          ,龙羊峡蓄水量,2572.99,(154)亿,-,
黄河                          ,龙羊峡出库,-,304,-,
黄河                          ,刘家峡入库,-,673,-,
黄河                          ,刘家峡蓄水量,1729.24,(33.2)亿,-,
黄河                          ,刘家峡出库,-,306,-,
黄河                          ,兰州                          ,1511.82,653,-,
黄河                          ,下河沿                        ,1230.7,703,-,
黄河                          ,石嘴山                        ,1087.18,740,-,
黄河                          ,巴彦高勒                      ,1050.9,710,-,
黄河                          ,三湖河口                      ,1018.8,690,-,
黄河                          ,包头                          ,1002.78,850,-,
黄河                          ,头道拐                        ,987.22,889,-,
黄河                          ,万家寨蓄水量,972.02,(2.49)亿,-,
黄河                          ,万家寨上出库,-,869,-,
黄河                          ,万家寨下                      ,899.54,869,-,
黄河                          ,府谷                          ,807.93,882,-,
黄河                          ,吴堡                          ,637.54,925,-,
黄河                          ,龙门                          ,380.81,899,-,
汾河                          ,河津                          ,372.44,36.9,-,
北洛河                        ,状头                          ,361.53,6.26,-,
泾河                          ,张家山                        ,420.64,23.6,-,
渭河                          ,咸阳                          ,381.76,98.6,-,
渭河                          ,华县                          ,335.73,86,-,
黄河                          ,潼关                          ,327.45,1030,-,
黄河                          ,史家滩蓄水量,305.76,(0.564)亿,-,
黄河                          ,三门峡                        ,275.12,822,2.04,
黄河                          ,小浪底上蓄水量,247.5,(35.8)亿,-,
黄河                          ,小浪底                        ,134.51,389,-,
伊河                          ,东湾                          ,2.83,5.97,-,
伊河                          ,陆浑坝上蓄水量,313.01,(4.26)亿,-,
伊河                          ,陆浑坝上出库,-,-,-,
伊河                          ,龙门镇                        ,148.64,13,-,
洛河                          ,卢氏                          ,6.18,1.41,-,
洛河                          ,故县水库蓄水量,523.41,(4.57)亿,-,
洛河                          ,故县水库出库,-,-,-,
洛河                          ,长水                          ,90.5,1.52,-,
洛河                          ,白马寺                        ,7.88,16.4,-,
伊洛河                        ,黑石关                        ,106.9,25.9,-,
丹河                          ,山路坪                        ,-,-,-,
沁河                          ,五龙口                        ,141.85,16.3,-,
沁河                          ,武陟                          ,100.16,11.9,-,
黄河                          ,花园口                        ,88.99,373,-,
黄河                          ,夹河滩                        ,72.36,325,-,
黄河                          ,高村                          ,58.93,305,0.378,
黄河                          ,孙口                          ,44.42,285,0.422,
大清河                        ,戴村坝,-,-,-,
东平湖                        ,东平湖老湖蓄水量,42.45,(4.82)亿,-,
东平湖                        ,出湖闸,-,-,-,
黄河                          ,艾山                          ,36.78,276,0.892,
